date,botten_ada,kambi
2026-06-14,0.599,0.8451
2026-06-15,0.599,0.8451
2026-06-16,0.599,0.8451
2026-06-17,0.621,0.8451
2026-06-18,0.663,0.8451
2026-06-19,0.663,0.8451
2026-06-20,0.663,0.8451
2026-06-21,0.663,0.8451
2026-06-22,0.663,0.8451
2026-06-23,0.668,0.8451
2026-06-24,0.665,0.8451
2026-06-25,0.672,0.8451
2026-06-26,0.672,0.8451
2026-06-27,0.672,0.8451
2026-06-28,0.672,0.8451
2026-06-29,0.672,0.8451
2026-06-30,0.672,0.8451
2026-07-01,0.672,0.8451
2026-07-02,0.672,0.8451
2026-07-03,0.672,0.8451
2026-07-04,0.672,0.8451
2026-07-05,0.672,0.8451
2026-07-06,0.672,0.8451
2026-07-07,0.672,0.8451
2026-07-08,0.672,0.8451
2026-07-09,0.672,0.8451
2026-07-10,0.672,0.8451
2026-07-11,0.672,0.8451
2026-07-12,0.672,0.8451
2026-07-13,0.672,0.8451
2026-07-14,0.672,0.8451
